ts_unix_ms,ts_dt_utc,symbol,n_trades_1s,sum_qty_1s,vwap_1s,buy_qty_1s,sell_qty_1s,buy_notional_1s,sell_notional_1s
1771365765479,2026-02-17 22:02:45.479000,BNBUSDT,1,0.11,618.2,0.0,0.11,0.0,68.00200000000001
1771365765479,2026-02-17 22:02:45.479000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365766486,2026-02-17 22:02:46.486000,BTCUSDT,1,0.014,67601.3,0.014,0.0,946.4182000000001,0.0
1771365766486,2026-02-17 22:02:46.486000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365766486,2026-02-17 22:02:46.486000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365766486,2026-02-17 22:02:46.486000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365766486,2026-02-17 22:02:46.486000,XRPUSDT,1,77.0,1.4825,0.0,77.0,0.0,114.15249999999999
1771365767496,2026-02-17 22:02:47.496000,BTCUSDT,1,0.035,67601.3,0.0,0.035,0.0,2366.0455
1771365767496,2026-02-17 22:02:47.496000,ETHUSDT,1,0.719,1997.5999999999997,0.719,0.0,1436.2743999999998,0.0
1771365767496,2026-02-17 22:02:47.496000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365767496,2026-02-17 22:02:47.496000,BNBUSDT,1,0.18,618.2,0.0,0.18,0.0,111.27600000000001
1771365767496,2026-02-17 22:02:47.496000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365768506,2026-02-17 22:02:48.506000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365768506,2026-02-17 22:02:48.506000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365768506,2026-02-17 22:02:48.506000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365768506,2026-02-17 22:02:48.506000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365768506,2026-02-17 22:02:48.506000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365769511,2026-02-17 22:02:49.511000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
