ts_unix_ms,ts_dt_utc,symbol,k1_start_ms,k1_close_ms,k1_open,k1_high,k1_low,k1_close,k1_base_vol,k1_quote_vol,k1_trades,k1_closed
1771369399466,2026-02-17 23:03:19.466000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.2,1992.0,1992.2,18.953,37757.0575,15,False
1771369399466,2026-02-17 23:03:19.466000,SOLUSDT,1771369380000,1771369439999,84.89,84.89,84.89,84.89,65.46,5556.8994,8,False
1771369399466,2026-02-17 23:03:19.466000,BNBUSDT,1771369380000,1771369439999,617.1,617.1,617.1,617.1,2.26,1394.646,6,False
1771369399466,2026-02-17 23:03:19.466000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4728,1.4728,1.4728,403.0,593.5384,5,False
1771369400482,2026-02-17 23:03:20.482000,BTCUSDT,1771369380000,1771369439999,67444.2,67456.1,67444.2,67456.1,0.841,56722.9062,16,False
1771369400482,2026-02-17 23:03:20.482000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.2,1992.0,1992.2,18.953,37757.0575,15,False
1771369400482,2026-02-17 23:03:20.482000,SOLUSDT,1771369380000,1771369439999,84.89,84.89,84.89,84.89,65.46,5556.8994,8,False
1771369400482,2026-02-17 23:03:20.482000,BNBUSDT,1771369380000,1771369439999,617.1,617.1,617.1,617.1,2.69,1659.999,7,False
1771369400482,2026-02-17 23:03:20.482000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4728,1.4728,1.4728,403.0,593.5384,5,False
1771369401499,2026-02-17 23:03:21.499000,BTCUSDT,1771369380000,1771369439999,67444.2,67469.0,67444.2,67469.0,0.882,59489.1265,18,False
1771369401499,2026-02-17 23:03:21.499000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.4,1992.0,1992.4,20.526,40891.1027,16,False
1771369401499,2026-02-17 23:03:21.499000,SOLUSDT,1771369380000,1771369439999,84.89,84.89,84.89,84.89,65.46,5556.8994,8,False
1771369401499,2026-02-17 23:03:21.499000,BNBUSDT,1771369380000,1771369439999,617.1,617.1,617.1,617.1,2.69,1659.999,7,False
1771369401499,2026-02-17 23:03:21.499000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4728,1.4728,1.4728,403.0,593.5384,5,False
1771369402514,2026-02-17 23:03:22.514000,BTCUSDT,1771369380000,1771369439999,67444.2,67471.8,67444.2,67471.8,0.968,65291.7013,19,False
1771369402514,2026-02-17 23:03:22.514000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.5,1992.0,1992.5,24.082,47976.4327,17,False
1771369402514,2026-02-17 23:03:22.514000,SOLUSDT,1771369380000,1771369439999,84.89,84.89,84.89,84.89,65.46,5556.8994,8,False
1771369402514,2026-02-17 23:03:22.514000,BNBUSDT,1771369380000,1771369439999,617.1,617.1,617.1,617.1,2.69,1659.999,7,False
1771369402514,2026-02-17 23:03:22.514000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,439.0,646.5736,6,False
1771369403532,2026-02-17 23:03:23.532000,BTCUSDT,1771369380000,1771369439999,67444.2,67471.8,67444.2,67471.8,0.968,65291.7013,19,False
1771369403532,2026-02-17 23:03:23.532000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.5,1992.0,1992.5,24.082,47976.4327,17,False
1771369403532,2026-02-17 23:03:23.532000,SOLUSDT,1771369380000,1771369439999,84.89,84.89,84.89,84.89,75.71,6427.0219,9,False
1771369403532,2026-02-17 23:03:23.532000,BNBUSDT,1771369380000,1771369439999,617.1,617.1,617.1,617.1,2.69,1659.999,7,False
1771369403532,2026-02-17 23:03:23.532000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,439.0,646.5736,6,False
1771369404549,2026-02-17 23:03:24.549000,BTCUSDT,1771369380000,1771369439999,67444.2,67471.8,67444.2,67471.8,0.968,65291.7013,19,False
1771369404549,2026-02-17 23:03:24.549000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.5,1992.0,1992.5,24.082,47976.4327,17,False
1771369404549,2026-02-17 23:03:24.549000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,82.99,7045.0939,10,False
1771369404549,2026-02-17 23:03:24.549000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.14,1937.739,8,False
1771369404549,2026-02-17 23:03:24.549000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,471.4,694.30528,7,False
1771369405564,2026-02-17 23:03:25.564000,BTCUSDT,1771369380000,1771369439999,67444.2,67476.3,67444.2,67476.3,1.028,69340.2793,20,False
1771369405564,2026-02-17 23:03:25.564000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.5,1992.0,1992.5,24.082,47976.4327,17,False
1771369405564,2026-02-17 23:03:25.564000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,82.99,7045.0939,10,False
1771369405564,2026-02-17 23:03:25.564000,BNBUSDT,1771369380000,1771369439999,617.1,617.2,617.1,617.2,3.14,1937.739,8,False
1771369405564,2026-02-17 23:03:25.564000,XRPUSDT,1771369380000,1771369439999,1.4728,1.4732,1.4728,1.4732,589.8,868.73216,8,False
1771369406577,2026-02-17 23:03:26.577000,BTCUSDT,1771369380000,1771369439999,67444.2,67476.3,67444.2,67476.3,1.097,73996.144,21,False
1771369406577,2026-02-17 23:03:26.577000,ETHUSDT,1771369380000,1771369439999,1992.2,1992.7,1992.0,1992.7,27.549,54885.1236,18,False
1771369406577,2026-02-17 23:03:26.577000,SOLUSDT,1771369380000,1771369439999,84.89,84.9,84.89,84.9,86.42,7336.3009,11,False
