ts_unix_ms,ts_dt_utc,symbol,bid1_px,bid2_px,bid3_px,bid4_px,bid5_px,bid1_qty,bid2_qty,bid3_qty,bid4_qty,bid5_qty,ask1_px,ask2_px,ask3_px,ask4_px,ask5_px,ask1_qty,ask2_qty,ask3_qty,ask4_qty,ask5_qty,obi5
1771368456395,2026-02-17 22:47:36.395000,BTCUSDT,67612.7,67612.5,67602.0,67601.9,67599.8,0.003,0.005,0.006,0.01,0.009,67612.8,67615.6,67615.8,67615.9,67616.0,2.624,0.004,0.008,3.86,0.009,-0.98990516977669
1771368456395,2026-02-17 22:47:36.395000,ETHUSDT,1999.8,1999.6,1999.5,1999.4,1999.3,3.501,1.463,73.91,37.665,17.352,1999.9,2000.0,2000.1,2000.2,2000.3,184.133,102.194,21.055,163.986,138.033,-0.6397351242849378
1771368456395,2026-02-17 22:47:36.395000,SOLUSDT,85.24,85.23,85.22,85.21,85.2,537.13,311.07,3607.76,3449.76,2854.11,85.25,85.26,85.27,85.28,85.29,3842.81,4494.0,3332.6,4786.78,3604.56,-0.3017762806540305
1771368456395,2026-02-17 22:47:36.395000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.89,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,320.56,311.83,289.05,293.14,-0.010138053558913127
1771368456395,2026-02-17 22:47:36.395000,XRPUSDT,1.4783,1.4782,1.4781,1.478,1.4779,10146.7,999.6,100181.2,32370.9,55106.5,1.4784,1.4785,1.4786,1.4787,1.4788,13644.4,24612.4,62447.3,112288.7,49998.7,-0.13899328795114038
1771368457408,2026-02-17 22:47:37.408000,BTCUSDT,67589.9,67589.8,67589.7,67589.6,67586.1,0.23,0.156,0.019,0.389,1.508,67590.0,67590.6,67591.1,67591.2,67591.6,1.71,0.027,0.009,0.147,0.009,0.09514747859181741
1771368457408,2026-02-17 22:47:37.408000,ETHUSDT,1999.5,1999.2,1999.1,1999.0,1998.9,5.908,33.61,180.638,141.331,135.603,1999.6,1999.7,1999.8,1999.9,2000.0,169.22,137.97,19.978,156.62,39.022,-0.025218158643004297
1771368457408,2026-02-17 22:47:37.408000,SOLUSDT,85.24,85.23,85.22,85.21,85.2,304.37,7.26,3397.7,3460.02,3232.17,85.25,85.26,85.27,85.28,85.29,4110.26,4306.8,3935.44,5142.22,3510.93,-0.33763404980455103
1771368457408,2026-02-17 22:47:37.408000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.86,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,320.56,311.83,289.05,293.14,-0.010150401981997433
1771368457408,2026-02-17 22:47:37.408000,XRPUSDT,1.4781,1.478,1.4779,1.4778,1.4777,84427.1,29087.2,40775.4,51843.5,53175.9,1.4782,1.4783,1.4784,1.4785,1.4786,1545.5,27367.9,29287.8,23615.5,60749.0,0.29049694083829086
1771368458424,2026-02-17 22:47:38.424000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.23,0.009,0.019,0.147,0.786,67590.0,67590.5,67590.6,67590.9,67591.0,4.01,0.027,0.009,0.05,0.009,-0.5502265861027191
1771368458424,2026-02-17 22:47:38.424000,ETHUSDT,1999.5,1999.2,1999.1,1999.0,1998.9,5.908,33.61,180.638,142.553,135.603,1999.6,1999.7,1999.8,1999.9,2000.0,169.22,137.77,20.715,159.772,47.422,-0.03541096639505385
1771368458424,2026-02-17 22:47:38.424000,SOLUSDT,85.24,85.23,85.22,85.21,85.2,304.37,7.26,3397.7,3460.02,3232.17,85.25,85.26,85.27,85.28,85.29,4119.96,4312.76,3912.86,5142.22,3510.93,-0.3374880773242252
1771368458424,2026-02-17 22:47:38.424000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.86,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,320.56,311.83,289.05,293.14,-0.010150401981997433
1771368458424,2026-02-17 22:47:38.424000,XRPUSDT,1.4781,1.478,1.4779,1.4778,1.4777,84427.1,29087.2,40775.4,51843.5,53175.9,1.4782,1.4783,1.4784,1.4785,1.4786,1545.5,27367.9,14068.7,38833.6,60749.0,0.29050015203777896
1771368459436,2026-02-17 22:47:39.436000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.123,0.009,0.019,0.147,0.786,67590.0,67590.1,67590.2,67590.9,67591.7,4.372,0.009,0.036,0.041,0.148,-0.6189806678383128
1771368459436,2026-02-17 22:47:39.436000,ETHUSDT,1999.5,1999.4,1999.3,1999.2,1999.1,28.369,25.007,136.945,151.854,138.118,1999.6,1999.7,1999.8,1999.9,2000.0,61.719,7.006,34.826,164.389,86.7,0.15049471035400447
1771368459436,2026-02-17 22:47:39.436000,SOLUSDT,85.24,85.23,85.22,85.21,85.2,304.37,20.22,3397.7,3460.02,3219.21,85.25,85.26,85.27,85.28,85.29,4143.44,4312.76,3889.38,5142.22,3510.93,-0.3374880773242252
1771368459436,2026-02-17 22:47:39.436000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.86,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,320.56,311.83,289.05,293.14,-0.010150401981997433
1771368459436,2026-02-17 22:47:39.436000,XRPUSDT,1.4781,1.478,1.4779,1.4778,1.4777,40698.4,29087.2,84497.9,51843.5,53175.9,1.4782,1.4783,1.4784,1.4785,1.4786,1545.5,27367.9,69813.3,23615.5,60749.0,0.17227105876864088
1771368460450,2026-02-17 22:47:40.450000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.231,0.009,0.019,0.147,0.786,67590.0,67590.1,67590.2,67590.7,67590.9,3.99,0.009,0.009,0.031,0.041,-0.5477996965098634
1771368460450,2026-02-17 22:47:40.450000,ETHUSDT,1999.5,1999.4,1999.3,1999.2,1999.1,30.833,25.007,136.945,151.854,138.118,1999.6,1999.7,1999.8,1999.9,2000.0,36.497,7.006,35.026,164.389,86.7,0.18850777042621944
1771368460450,2026-02-17 22:47:40.450000,SOLUSDT,85.24,85.23,85.22,85.21,85.2,304.37,20.22,3397.7,3460.02,3219.21,85.25,85.26,85.27,85.28,85.29,4143.44,4306.8,3930.86,5142.22,3510.93,-0.3382366647930049
1771368460450,2026-02-17 22:47:40.450000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.86,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,320.56,311.83,289.05,293.14,-0.010150401981997433
1771368460450,2026-02-17 22:47:40.450000,XRPUSDT,1.4781,1.478,1.4779,1.4778,1.4777,40698.4,22237.1,84497.9,51843.5,53175.9,1.4782,1.4783,1.4784,1.4785,1.4786,1545.5,49465.1,54594.2,23615.5,60749.0,0.14123051267104425
1771368461466,2026-02-17 22:47:41.466000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.231,0.009,0.019,0.147,0.786,67590.0,67590.1,67590.2,67590.9,67591.7,3.99,0.04,0.009,0.041,0.148,-0.5601476014760147
1771368461466,2026-02-17 22:47:41.466000,ETHUSDT,1999.5,1999.4,1999.3,1999.2,1999.1,30.833,25.007,136.945,151.854,138.118,1999.6,1999.7,1999.8,1999.9,2000.0,36.497,8.808,35.026,167.374,84.922,0.18412183707308463
1771368461466,2026-02-17 22:47:41.466000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,240.02,3164.94,3460.02,3232.17,3146.66,85.24,85.25,85.26,85.27,85.28,4697.87,3539.93,3335.13,3874.07,4790.44,-0.20888198618629827
1771368461466,2026-02-17 22:47:41.466000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.86,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,293.14,-0.010150401981997433
1771368461466,2026-02-17 22:47:41.466000,XRPUSDT,1.4781,1.478,1.4779,1.4778,1.4777,40698.4,12088.3,94647.4,51843.5,53175.9,1.4782,1.4783,1.4784,1.4785,1.4786,1545.5,49465.1,54594.2,23615.5,60749.0,0.14123187141349858
1771368462474,2026-02-17 22:47:42.474000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.231,0.009,0.019,0.147,0.786,67590.0,67590.1,67590.2,67590.3,67590.9,3.944,0.009,0.009,0.029,0.041,-0.5436447166921898
1771368462474,2026-02-17 22:47:42.474000,ETHUSDT,1999.5,1999.4,1999.3,1999.2,1999.1,41.81,25.007,136.945,151.854,137.617,1999.6,1999.7,1999.8,1999.9,2000.0,36.497,8.808,35.026,167.374,84.922,0.19447121788196547
1771368462474,2026-02-17 22:47:42.474000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,252.98,3164.94,3460.02,3219.21,3146.66,85.24,85.25,85.26,85.27,85.28,4697.87,3539.93,3335.13,3874.07,4790.44,-0.20888198618629822
1771368462474,2026-02-17 22:47:42.474000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.86,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,293.14,-0.010150401981997433
1771368462474,2026-02-17 22:47:42.474000,XRPUSDT,1.4781,1.478,1.4779,1.4778,1.4777,40698.4,12088.3,94647.4,51843.5,53175.9,1.4782,1.4783,1.4784,1.4785,1.4786,42071.0,49438.1,54594.2,23615.5,60749.0,0.04552646569948351
1771368463491,2026-02-17 22:47:43.491000,BTCUSDT,67589.9,67589.8,67589.7,67586.5,67586.3,0.23,0.009,0.019,0.147,0.786,67590.0,67590.1,67590.2,67590.9,67591.7,4.01,0.038,0.009,0.041,0.148,-0.5618907485745817
1771368463491,2026-02-17 22:47:43.491000,ETHUSDT,1999.5,1999.3,1999.2,1999.1,1999.0,66.866,136.945,151.854,170.033,131.094,1999.6,1999.7,1999.8,1999.9,2000.0,36.497,8.808,34.289,204.875,47.422,0.3286199924546088
1771368463491,2026-02-17 22:47:43.491000,SOLUSDT,85.23,85.22,85.21,85.2,85.19,252.98,3164.94,3812.09,2867.1,3146.66,85.24,85.25,85.26,85.27,85.28,4642.7,3539.96,3335.13,3874.07,4790.44,-0.2075783961440875
1771368463491,2026-02-17 22:47:43.491000,BNBUSDT,619.0,618.9,618.8,618.7,618.6,108.83,324.86,389.54,268.85,122.51,619.1,619.2,619.3,619.4,619.5,24.92,329.04,303.35,289.05,293.14,-0.010150401981997433
1771368463491,2026-02-17 22:47:43.491000,XRPUSDT,1.478,1.4779,1.4778,1.4777,1.4776,20619.4,40525.5,67940.5,40775.4,21886.8,1.4781,1.4782,1.4783,1.4784,1.4785,29441.7,43069.3,33775.6,69612.5,35429.2,-0.04857819581870316
